1960s,0.09
1970s,-0.07
1980s,-0.15
1990s,0.05
aaron,-0.32
abandoned,-0.09
abby,0.64
ability,-0.03
able,-0.04
abnormal,-0.34
aboard,-0.15
above,0.2
abrupt,-0.83
abruptly,-1.11
abs,0.58
absence,-0.8
absent,0.08
absolute,-1.51
absolutely,0.57
abstract,-0.09
absurd,-1.23
abundant,0.83
academic,0.43
academy,0.61
accent,1.73
accept,0.72
acceptable,-0.12
accepted,0.17
access,0.29
accessible,1.06
accident,-3.03
accidental,-2.07
acclaimed,0.49
accompanied,-1.59
accompanying,-0.28
according,-0.04
account,0.64
accountable,-0.4
accounting,0.17
accounts,0.74
accurate,0.85
accused,-1.5
achieve,0.53
achieved,0.76
achievement,0.65
aching,-1.22
acknowledged,-0.57
acquired,0.45
acres,0.53
across,0.32
act,-1.33
acted,0.21
acting,-0.72
action,-0.16
actions,-1.05
active,0.59
activities,-0.53
activity,0.59
actor,0.83
actors,0.04
actress,1.01
acts,-2.48
actual,-0.54
actually,0.11
acute,-1.24
ad,0.61
ada,0.56
adam,0.74
adams,0.35
add,0.22
added,-0.52
adding,-0.08
addition,-0.03
additional,0.04
address,-0.04
addressed,-0.26
adds,-0.06
adept,0.01
adequate,0.5
adjacent,0.43
adjoining,0.46
administration,-0.02
administrative,-0.15
admirable,1.35
admit,-0.73
admitted,-2.27
adolescent,0.05
adopted,0.45
adorable,1.2
ads,0.09
adult,0.31
adults,0.08
advance,0.02
advanced,0.03
advancing,-0.15
advantage,-0.33
adventure,1.13
adverse,-1.05
advertising,0.31
advice,0.41
advisory,-0.03
aerobic,0.32
aesthetic,0.05
affair,1.14
affairs,-0.38
affect,-0.6
affected,-1.27
affectionate,2
affiliation,0.38
affirmative,-0.36
affluent,-1.41
afford,-0.97
affordable,0.55
afghan,-0.14
afghanistan,-1.02
afraid,-1.4
africa,-0.34
african,-1.23
aft,0.71
afternoon,0.85
afterward,0.04
again,-0.43
against,-0.62
age,0.86
aged,0.01
agencies,-0.16
agency,0.03
agenda,0.08
agent,0.6
agents,0.13
ages,0.61
aggressive,-0.32
aging,-2.06
agitated,-1.65
agnes,0.84
ago,0.06
agree,-0.08
agreed,-0.37
agreement,0.86
agricultural,-0.12
ah,0.82
ahead,0.11
ai,-0.42
aid,-0.34
aids,-0.87
ailing,-0.15
aim,0.09
aimed,-0.98
air,-1.09
airborne,-0.42
aircraft,-0.58
airport,-0.19
airy,1.69
aisle,0.1
akin,-0.65
al,-0.48
alabama,-1.02
